dist,under_h0,n,estimator,q,weight,reject_rate,mean_pvalue,mean_stat,mean_time_s,sd_time_s,n_rep,se_rate
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin,1,gauss_1.0,0.016666666666666666,0.5860833333333333,0.06826562470112273,1.2608162866666135,0.2239297082797043,60,0.01652719420071502
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin,1,laplace_1.0,0.0,0.5034166666666666,0.0856292368515872,1.0872954450001089,0.06004030262494823,60,0.0
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin,2,gauss_1.0,0.0,0.5688333333333334,0.008704779883681547,0.5198724749999504,0.06086326563781104,60,0.0
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin,2,laplace_1.0,0.0,0.5486666666666667,0.013256440737119438,0.6447144083334934,0.09631021698455115,60,0.0
"Cauchy(loc=2.0,scale=1.0)",True,20,median,1,gauss_1.0,0.0,0.47325,0.0943478193674033,0.06248826833343628,0.008432804891057643,60,0.0
"Cauchy(loc=2.0,scale=1.0)",True,20,median,1,laplace_1.0,0.016666666666666666,0.5418333333333333,0.0903608847364914,0.05602873000013157,0.003977550724063318,60,0.01652719420071502
"Cauchy(loc=2.0,scale=1.0)",True,20,median,2,gauss_1.0,0.0,0.5645,0.013967706078285949,0.05737786666665367,0.006724579552450421,60,0.0
"Cauchy(loc=2.0,scale=1.0)",True,20,median,2,laplace_1.0,0.0,0.5474166666666667,0.01740794461810303,0.051672930000040654,0.001999975080645728,60,0.0
"Cauchy(loc=2.0,scale=1.0)",True,20,trimmed,1,gauss_1.0,0.05,0.48033333333333333,0.11652327362163363,0.1407046316667523,0.020702184343967207,60,0.028136571693556888
"Cauchy(loc=2.0,scale=1.0)",True,20,trimmed,1,laplace_1.0,0.03333333333333333,0.5265833333333333,0.12869961805434652,0.11862666333339196,0.00438269844851292,60,0.023174059571793568
"Cauchy(loc=2.0,scale=1.0)",True,20,trimmed,2,gauss_1.0,0.03333333333333333,0.5064166666666667,0.03794701097150581,0.11380499666665855,0.0038915729675771675,60,0.023174059571793568
"Cauchy(loc=2.0,scale=1.0)",True,20,trimmed,2,laplace_1.0,0.016666666666666666,0.5699166666666666,0.03816668986155549,0.13086078833333278,0.025738222803569577,60,0.01652719420071502
"Cauchy(loc=2.0,scale=1.0)",True,40,argmin,1,gauss_1.0,0.08333333333333333,0.5095833333333333,0.0672285935444262,1.57803964666673,0.12863558563010347,60,0.03568120160740314
"Cauchy(loc=2.0,scale=1.0)",True,40,argmin,1,laplace_1.0,0.05,0.5383333333333333,0.05839669756566615,1.6198444633334173,0.08164641111972673,60,0.028136571693556888
"Cauchy(loc=2.0,scale=1.0)",True,40,argmin,2,gauss_1.0,0.03333333333333333,0.5347500000000001,0.025487491111205744,0.7302577916664632,0.09791791190653354,60,0.023174059571793568
"Cauchy(loc=2.0,scale=1.0)",True,40,argmin,2,laplace_1.0,0.016666666666666666,0.5596666666666666,0.006540770149884108,0.791755326666771,0.0855410631926068,60,0.01652719420071502
"Cauchy(loc=2.0,scale=1.0)",True,40,median,1,gauss_1.0,0.016666666666666666,0.5089166666666667,0.06035622615991944,0.06998388499996508,0.0023116743661389457,60,0.01652719420071502
"Cauchy(loc=2.0,scale=1.0)",True,40,median,1,laplace_1.0,0.0,0.5894166666666667,0.06075942674015425,0.07133500166676944,0.0017976062916862981,60,0.0
"Cauchy(loc=2.0,scale=1.0)",True,40,median,2,gauss_1.0,0.016666666666666666,0.5485,0.006533691203834692,0.06967028999994605,0.0019147736990172944,60,0.01652719420071502
"Cauchy(loc=2.0,scale=1.0)",True,40,median,2,laplace_1.0,0.0,0.5993333333333334,0.008038628042469501,0.07323227333342099,0.0028046668025132554,60,0.0
"Cauchy(loc=2.0,scale=1.0)",True,40,trimmed,1,gauss_1.0,0.03333333333333333,0.4895833333333333,0.09285589981904482,0.13406940666664013,0.0038669423768452477,60,0.023174059571793568
"Cauchy(loc=2.0,scale=1.0)",True,40,trimmed,1,laplace_1.0,0.0,0.5306666666666666,0.0853921007243921,0.1348529216664853,0.0033552625268107737,60,0.0
"Cauchy(loc=2.0,scale=1.0)",True,40,trimmed,2,gauss_1.0,0.03333333333333333,0.48091666666666666,0.013541055396497994,0.13342161166671454,0.0036088502667204264,60,0.023174059571793568
"Cauchy(loc=2.0,scale=1.0)",True,40,trimmed,2,laplace_1.0,0.03333333333333333,0.52625,0.019201933845797475,0.13521057499992822,0.003985878099522709,60,0.023174059571793568
"Cauchy(loc=2.0,scale=1.0)",True,80,argmin,1,gauss_1.0,0.016666666666666666,0.5663333333333332,0.0421101628122887,2.6390842783332724,0.16406863228038637,60,0.01652719420071502
"Cauchy(loc=2.0,scale=1.0)",True,80,argmin,1,laplace_1.0,0.05,0.5938333333333333,0.057383943886269995,2.75909970666659,0.1679321180245099,60,0.028136571693556888
"Cauchy(loc=2.0,scale=1.0)",True,80,argmin,2,gauss_1.0,0.06666666666666667,0.5689166666666666,0.020866229650339834,1.2595928383333255,0.23690257285497227,60,0.03220305943597653
"Cauchy(loc=2.0,scale=1.0)",True,80,argmin,2,laplace_1.0,0.03333333333333333,0.6223333333333334,0.014182436254943727,1.4368205450000764,0.2653787099260131,60,0.023174059571793568
"Cauchy(loc=2.0,scale=1.0)",True,80,median,1,gauss_1.0,0.06666666666666667,0.5225833333333333,0.04075619790374876,0.10937530833316486,0.0035125443877427197,60,0.03220305943597653
"Cauchy(loc=2.0,scale=1.0)",True,80,median,1,laplace_1.0,0.03333333333333333,0.5538333333333333,0.04381578927862806,0.11213281666668991,0.002391665086307597,60,0.023174059571793568
"Cauchy(loc=2.0,scale=1.0)",True,80,median,2,gauss_1.0,0.016666666666666666,0.6140000000000001,0.0026574906906610568,0.1082617500000803,0.0025790814463568955,60,0.01652719420071502
"Cauchy(loc=2.0,scale=1.0)",True,80,median,2,laplace_1.0,0.016666666666666666,0.6088333333333333,0.003961092684992689,0.11149943333330156,0.002681614255243507,60,0.01652719420071502
"Cauchy(loc=2.0,scale=1.0)",True,80,trimmed,1,gauss_1.0,0.06666666666666667,0.497,0.058052214638877254,0.17396900666666018,0.003915466880639714,60,0.03220305943597653
"Cauchy(loc=2.0,scale=1.0)",True,80,trimmed,1,laplace_1.0,0.06666666666666667,0.47708333333333336,0.060839370963687606,0.17629134833329468,0.00398173379726657,60,0.03220305943597653
"Cauchy(loc=2.0,scale=1.0)",True,80,trimmed,2,gauss_1.0,0.05,0.48358333333333337,0.007005649608633309,0.17376386999994792,0.0033266447824178793,60,0.028136571693556888
"Cauchy(loc=2.0,scale=1.0)",True,80,trimmed,2,laplace_1.0,0.03333333333333333,0.5340833333333334,0.008596992688530168,0.17676135000019713,0.003882257382191426,60,0.023174059571793568
"Gamma(k=2.0,s=1.0)",False,20,argmin,1,gauss_1.0,0.23333333333333334,0.18983333333333335,0.08493353532558144,0.9327342266667377,0.03563265420639057,60,0.054602943890247176
"Gamma(k=2.0,s=1.0)",False,20,argmin,1,laplace_1.0,0.11666666666666667,0.26275,0.09528316856238934,0.9613627183333544,0.03152327182987573,60,0.04144384867012947
"Gamma(k=2.0,s=1.0)",False,20,argmin,2,gauss_1.0,0.13333333333333333,0.23983333333333334,0.015517937875172179,0.4427405416666564,0.018032116260919936,60,0.043885372573625556
"Gamma(k=2.0,s=1.0)",False,20,argmin,2,laplace_1.0,0.06666666666666667,0.3765,0.017579811878422755,0.47364571499992963,0.01635024000940547,60,0.03220305943597653
"Gamma(k=2.0,s=1.0)",False,20,median,1,gauss_1.0,0.18333333333333332,0.28350000000000003,0.09935578332415922,0.05003847333324908,0.0022906254769255205,60,0.04995368225036439
"Gamma(k=2.0,s=1.0)",False,20,median,1,laplace_1.0,0.16666666666666666,0.2955,0.10154919319420906,0.05083799499983191,0.0024913806844055262,60,0.048112522432468816
"Gamma(k=2.0,s=1.0)",False,20,median,2,gauss_1.0,0.08333333333333333,0.3139166666666667,0.015341023365117008,0.05007686499996756,0.002279879938477886,60,0.03568120160740314
"Gamma(k=2.0,s=1.0)",False,20,median,2,laplace_1.0,0.1,0.35108333333333336,0.022300556352106312,0.050808801666789805,0.002366789890961061,60,0.03872983346207417
"Gamma(k=2.0,s=1.0)",False,20,trimmed,1,gauss_1.0,0.23333333333333334,0.19625,0.10488801347187388,0.11303870999994009,0.003779239234498371,60,0.054602943890247176
"Gamma(k=2.0,s=1.0)",False,20,trimmed,1,laplace_1.0,0.11666666666666667,0.29083333333333333,0.10782877086489413,0.11344495833336624,0.003908025508944186,60,0.04144384867012947
"Gamma(k=2.0,s=1.0)",False,20,trimmed,2,gauss_1.0,0.06666666666666667,0.29483333333333334,0.025066153439481882,0.11167729833314297,0.0028046000531123747,60,0.03220305943597653
"Gamma(k=2.0,s=1.0)",False,20,trimmed,2,laplace_1.0,0.03333333333333333,0.36625,0.03370122829082308,0.11296565833329926,0.0029774706215388567,60,0.023174059571793568
