dist,under_h0,n,estimator,q,weight,reject_rate,mean_pvalue,mean_stat,mean_time_s,sd_time_s,n_rep,se_rate
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin_pyomo,1,gauss_1.0,0.0,0.5666666666666667,0.07709687066842681,0.39882300000075094,0.4231563378865053,3,0.0
"Gamma(k=2.0,s=1.0)",False,20,argmin_pyomo,1,gauss_1.0,0.0,0.26666666666666666,0.07148624813173472,0.15305043333258558,0.007120334871812304,3,0.0
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,1,gauss_1.0,0.0,0.7666666666666666,0.007440801065447044,0.8917796999994607,0.0036578067467521913,3,0.0
