dist,under_h0,n,estimator,rep,statistic,p_value,reject,theta_hat,time_s
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,3,0.22360679774997919,0.85,False,1.8585191899559201,2.628569000000425
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,2,0.22360679774997919,0.85,False,1.992137216186816,2.7879748999985168
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,0,0.22360679774997919,0.85,False,2.0987849742127143,2.818681699998706
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,10,0.22360679774997919,0.875,False,2.059758627574126,2.6775894000020344
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,4,0.4472135954999581,0.375,False,2.00248601925889,2.8991869000019506
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,5,0.3354101966249685,0.475,False,2.243245080655882,2.6246810000011465
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,8,0.11180339887498959,1.0,False,1.9290896350825075,2.966942499999277
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,1,0.3354101966249685,0.625,False,1.928914796889536,2.7454715999992914
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,6,0.3354101966249685,0.775,False,1.946497648105034,2.893084599996655
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,9,0.3354101966249685,0.725,False,2.3228302852386173,2.8328781999989587
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,11,0.44721359549995787,0.225,False,2.156598331137736,0.8167304999988119
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,7,0.22360679774997919,0.925,False,2.0175767303432495,2.8879635999983293
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,12,0.22360679774997919,0.875,False,1.9387238691292397,0.863687500001106
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,13,0.3354101966249685,0.6,False,2.2499637155569054,0.9150862000024063
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,16,0.22360679774997919,0.975,False,1.954712570444954,0.7958157999964897
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,14,0.22360679774997919,0.775,False,2.072438132783318,0.8536809999968682
