dist,under_h0,n,estimator,q,weight,rep,statistic,p_value,reject,theta_hat,time_s
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,37,0.007920188731162986,0.695,False,1.9304562468745496,0.838824399999794
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,41,0.016594424626966867,0.065,False,2.1332506188538227,0.8285022999989451
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,42,0.005777177710170731,0.3,False,1.8492878659344232,0.7976020000005519
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,43,0.005282344508198197,0.525,False,2.0889218799450324,0.8427853000011964
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,44,0.000318885332060686,0.94,False,1.9163797748419216,0.776313599999412
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,45,0.0074901699379379925,0.32,False,1.9444538846892196,0.7824266999996325
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,46,0.0023031331595662514,0.575,False,2.0227235218923236,0.8106348000001162
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,47,0.007862334311923059,0.34,False,1.903518892927355,0.7950122000002011
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,50,0.008017942526605294,0.54,False,2.0365556468326242,0.8018241999998281
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,49,0.005130830483397075,0.54,False,2.026852554774036,0.8083442000006471
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,48,0.0004160033315275572,0.98,False,2.101986720928481,0.8198439000007056
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,51,0.0052653051741342275,0.69,False,2.0356244535703456,0.8330975000008038
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,52,0.00263035451230517,0.865,False,2.1810154173819734,0.8388157000008505
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,53,0.0057506106297086695,0.365,False,2.1920738547432914,0.8132136000003811
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,54,0.005307643764259236,0.63,False,1.8761084518966724,0.8401312999994843
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,55,0.008164622717782417,0.3,False,1.8885700945164292,0.8186568000000989
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,56,0.009935513824708588,0.145,False,2.191696178038598,0.7880042000015237
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,58,0.014840923158648153,0.14,False,2.2023802221674957,0.8061422999999195
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,57,0.008374901100651541,0.235,False,1.8561021247542988,0.8127179000002798
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,59,0.0031850266271737015,0.82,False,1.982448155431071,0.8482999999996537
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,0,0.034171161166943326,0.32,False,1.8126318728646191,0.8701915999990888
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,1,0.01699651015886831,0.8,False,1.8206310943255584,0.8750915000000532
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,3,0.020038911643151584,0.49,False,1.861080151779947,0.8270109000004595
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,2,0.016349864077323473,0.72,False,2.0914562328408404,0.8769216000000597
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,4,0.02751871021723527,0.085,False,2.166954111886396,0.8577842000013334
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,5,0.0368194219069216,0.17,False,2.0870106561852793,0.887391000000207
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,6,0.027488304453666266,0.405,False,1.9316362620366054,0.838986599999771
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,7,0.03777631926210991,0.595,False,1.9275262592265587,0.8986791999996058
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,10,0.04609366883188441,0.08,False,1.7321072472479875,0.8227191000005405
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,8,0.019827003786108105,0.715,False,1.990414617455026,0.8914012000004732
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,9,0.03831229005492882,0.12,False,2.1793737674377254,0.8943472999999358
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,11,0.0052850023895263075,0.73,False,1.9351200445473116,0.815219199999774
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,13,0.0035558747832953527,0.9,False,1.9568206928239646,0.8077341999996861
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,12,0.01789773902210573,0.765,False,2.0515625111098124,0.8814094000008481
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,14,0.02062129643429572,0.275,False,1.7818343978779234,0.8611080000009679
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,15,0.02396016274811176,0.335,False,1.8561479965851144,0.8700867000006838
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,16,0.02970582351904394,0.525,False,1.9714323536872629,0.87503789999937
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,17,0.03691923191919824,0.415,False,2.138737614140085,0.8812882999991416
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,18,0.032491426281859415,0.245,False,1.9629339723625359,0.8577566999992996
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,20,0.019079747871912897,0.43,False,1.9055005529944606,0.8677597000005335
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,21,0.03626023203286881,0.16,False,1.9077817588693837,0.86842710000019
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,23,0.016741231278737924,0.57,False,1.9391748667016548,0.8449006000009831
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,22,0.03702613968877873,0.24,False,2.14160208942384,0.8680466000005254
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,19,0.05348168842593477,0.03,True,1.8996929527130149,0.8993315000006987
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,25,0.004455618381267018,0.79,False,2.2133208571737897,0.810164700000314
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,24,0.04249384740587775,0.05,False,1.652523499091126,0.8365264999993087
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,26,0.04203531469178793,0.645,False,1.9994353793833466,0.8941357999992761
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,27,0.026393995541207412,0.495,False,2.130014032746344,0.873927000000549
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,28,0.03108628191230583,0.06,False,1.7132301289008576,0.8336220999990474
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,29,0.02480302462553896,0.51,False,2.033882352907564,0.8577975000007427
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,31,0.0018659730684359957,0.94,False,1.9391737320624072,0.8524560999994719
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,30,0.017287265095582906,0.365,False,2.112516591176505,0.8736561000005167
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,33,0.07070785308444287,0.585,False,1.9868264447758548,0.8800745999997162
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,32,0.01247288482463626,0.725,False,2.1164593340560027,0.8911179000006086
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,34,0.00549827131244349,0.895,False,1.969204657606201,0.8847124000003532
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,36,0.051216024799593196,0.12,False,1.6777510692722117,0.8645270000015444
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,35,0.0279385243428026,0.375,False,2.037543917222508,0.8757872000005591
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,37,0.017141119059627084,0.26,False,2.2775414809298593,0.8324226999993698
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,38,0.04308073239783555,0.67,False,2.010204428897279,0.8958065999995597
