dist,under_h0,n,estimator,rep,statistic,p_value,reject,theta_hat,time_s
"Uniforme(1.0,3.0)",True,20,argmin,0,0.22360679774997919,0.79,False,2.0824970285002227,0.06860589999996591
"Uniforme(1.0,3.0)",True,20,argmin,1,0.3354101966249685,0.53,False,1.928914796889536,0.07019850000506267
"Uniforme(1.0,3.0)",True,20,argmin,3,0.22360679774997905,0.91,False,1.8335250834052264,0.06714690000808332
"Uniforme(1.0,3.0)",True,20,argmin,4,0.44721359549995787,0.46,False,1.9781173332890993,0.07504080000217073
"Uniforme(1.0,3.0)",True,20,argmin,2,0.22360679774997919,0.775,False,1.9124678327261493,0.08236329999635927
"Uniforme(1.0,3.0)",True,20,argmin,5,0.3354101966249685,0.505,False,2.243245080655882,0.06429639999987558
"Uniforme(1.0,3.0)",True,20,argmin,6,0.3354101966249685,0.59,False,1.8795095843683964,0.06803429999854416
"Uniforme(1.0,3.0)",True,20,argmin,7,0.22360679774997902,0.895,False,2.001118708753199,0.06538000000000466
"Uniforme(1.0,3.0)",True,20,argmin,8,0.11180339887498959,1.0,False,1.9157699353204003,0.06300000000919681
"Uniforme(1.0,3.0)",True,20,argmin,9,0.3354101966249685,0.525,False,2.2494316035512982,0.0675487999978941
"Uniforme(1.0,3.0)",True,20,argmin,10,0.22360679774997919,0.8,False,2.0031996662052522,0.057133099995553493
"Uniforme(1.0,3.0)",True,20,argmin,11,0.44721359549995787,0.275,False,2.1382499650508136,0.058328499988419935
"Uniforme(1.0,3.0)",True,20,argmin,18,0.22360679774997894,1.0,False,1.940118898600143,0.05866490000335034
"Uniforme(1.0,3.0)",True,20,argmin,13,0.3354101966249685,0.575,False,2.2499637155569054,0.06090129999211058
"Uniforme(1.0,3.0)",True,20,argmin,12,0.22360679774997919,0.78,False,1.9313053852937072,0.06169430000591092
"Uniforme(1.0,3.0)",True,20,argmin,19,0.22360679774997919,0.68,False,1.98480358589087,0.06101289999787696
"Uniforme(1.0,3.0)",True,20,argmin,15,0.22360679774997905,0.945,False,1.9554315630632766,0.06205950000730809
"Uniforme(1.0,3.0)",True,20,argmin,16,0.22360679774997919,0.82,False,1.950617543439709,0.06250610000279266
"Uniforme(1.0,3.0)",True,20,argmin,14,0.22360679774997894,0.995,False,2.051973469594631,0.06274229999689851
"Uniforme(1.0,3.0)",True,20,argmin,21,0.22360679774997905,0.905,False,1.9009979497778264,0.06517679999524262
"Uniforme(1.0,3.0)",True,20,argmin,17,0.22360679774997905,0.88,False,2.0616158074645634,0.06664910000108648
"Uniforme(1.0,3.0)",True,20,argmin,22,0.3354101966249685,0.61,False,2.205362298288653,0.06125740001152735
"Uniforme(1.0,3.0)",True,20,argmin,20,0.447213595499958,0.11,False,1.860371687229784,0.06882070000574458
"Uniforme(1.0,3.0)",True,20,argmin,26,0.22360679774997919,0.81,False,2.013465540380998,0.06048539999756031
"Uniforme(1.0,3.0)",True,20,argmin,23,0.3354101966249684,0.7,False,1.9549495746385632,0.06298240000614896
"Uniforme(1.0,3.0)",True,20,argmin,24,0.44721359549995787,0.32,False,2.09047349858374,0.06344170001102611
"Uniforme(1.0,3.0)",True,20,argmin,27,0.3354101966249684,0.555,False,2.2038648691565146,0.062271200004033744
"Uniforme(1.0,3.0)",True,20,argmin,30,0.3354101966249685,0.6,False,1.9174093845981555,0.057959400000981987
"Uniforme(1.0,3.0)",True,20,argmin,28,0.22360679774997919,0.835,False,2.129808582200882,0.06287739999243058
"Uniforme(1.0,3.0)",True,20,argmin,29,0.22360679774997894,0.995,False,2.011670094625723,0.06489460000011604
"Uniforme(1.0,3.0)",True,20,argmin,25,0.3354101966249685,0.58,False,2.1574225710462054,0.06682140000339132
"Uniforme(1.0,3.0)",True,20,argmin,31,0.22360679774997905,0.895,False,2.106407745225079,0.060945999997784384
"Uniforme(1.0,3.0)",True,20,argmin,33,0.4472135954999581,0.095,False,1.8395784364882095,0.06001800000376534
"Uniforme(1.0,3.0)",True,20,argmin,32,0.3354101966249685,0.53,False,1.9239639977438951,0.06421029999910388
"Uniforme(1.0,3.0)",True,20,argmin,34,0.22360679774997894,0.985,False,1.9664955455711848,0.060639199989964254
"Uniforme(1.0,3.0)",True,20,argmin,35,0.3354101966249685,0.565,False,2.2102959672425917,0.06398660001286771
"Uniforme(1.0,3.0)",True,20,argmin,42,0.3354101966249685,0.58,False,1.8556004102744144,0.0575741999928141
"Uniforme(1.0,3.0)",True,20,argmin,37,0.22360679774997919,0.82,False,1.9672751581338073,0.06236239999998361
"Uniforme(1.0,3.0)",True,20,argmin,38,0.223606797749979,0.91,False,2.0769160264363107,0.06221549998736009
"Uniforme(1.0,3.0)",True,20,argmin,36,0.3354101966249685,0.535,False,2.220394459987994,0.06414019998919684
"Uniforme(1.0,3.0)",True,20,argmin,39,0.22360679774997919,0.76,False,2.020123508475577,0.0632709000055911
"Uniforme(1.0,3.0)",True,20,argmin,41,0.44721359549995787,0.205,False,2.201118028186057,0.06168009999964852
"Uniforme(1.0,3.0)",True,20,argmin,43,0.22360679774997919,0.87,False,2.1143238054900335,0.06322349999391008
"Uniforme(1.0,3.0)",True,20,argmin,40,0.3354101966249685,0.575,False,2.206794476153554,0.06531779999204446
"Uniforme(1.0,3.0)",True,20,argmin,44,0.3354101966249685,0.54,False,1.9540417649868431,0.06202789999952074
"Uniforme(1.0,3.0)",True,20,argmin,49,0.22360679774997902,0.885,False,2.0238282666070937,0.057028299997909926
"Uniforme(1.0,3.0)",True,20,argmin,45,0.3354101966249684,0.54,False,1.9138638944282,0.06333839999570046
"Uniforme(1.0,3.0)",True,20,argmin,48,0.22360679774997905,0.94,False,2.0841545202859137,0.05973340000491589
"Uniforme(1.0,3.0)",True,20,argmin,51,0.22360679774997905,0.925,False,2.030057410685416,0.05815910000819713
"Uniforme(1.0,3.0)",True,20,argmin,50,0.3354101966249685,0.685,False,2.06215486699697,0.06176779999805149
"Uniforme(1.0,3.0)",True,20,argmin,46,0.3354101966249685,0.57,False,2.07773270187328,0.06488989999343175
"Uniforme(1.0,3.0)",True,20,argmin,47,0.3354101966249683,0.635,False,1.8495023678280442,0.06468219999806024
"Uniforme(1.0,3.0)",True,20,argmin,52,0.22360679774997919,0.825,False,2.1897360604801657,0.06315669999457896
"Uniforme(1.0,3.0)",True,20,argmin,54,0.223606797749979,0.945,False,1.8492219422484442,0.06214130000444129
